Plant,Capacity_MW,CO2_kt_y,FLH_h,CAPEX_FOAK,CAPEX_NOAK,Transport_EUR_tCO2,OPEX_EUR_tCO2,Total_FOAK,Total_NOAK
Pembroke Power Station,2200,5291.35873746,5777.1073559612305,11.08034696441163,6.31250895255035,25.184999999999995,25.84565990138744,62.11100686579907,57.34316885393778
Staythorpe Power Station,1828,3574.179279096,4696.410538564166,16.784402749435955,9.5621276986475,19.665,25.84565990138746,62.29506265082341,55.07278760003496
Didcot B,1450,2803.31215761,4643.755771564909,21.54287537688673,12.27304470853229,18.515,25.845659901387442,65.90353527827418,56.63370460991973
West Burton B CCGT Power Station,1332,2345.307607212,4229.2319066635755,17.450128236649,9.94139362880932,18.285,25.845659901387457,61.58078813803646,54.072053530196776
Saltend,1200,2294.461504098,4592.672128300735,7.138693180034249,4.066936238839086,12.535,25.84565990138744,45.519353081421684,42.44759614022652
Immingham,1252,2293.466727078,4400.013688953439,11.599721155494263,6.608398083230367,8.625,25.845659901387442,46.07038105688171,41.079057984617805
Marchwood  Power  Station,898,1911.319309962,5112.376424087187,16.47743036669431,9.387244554602809,16.79,25.845659901387453,59.11309026808176,52.02290445599026
Carrington CCGT,884,1761.6960277500002,4786.792729113989,16.423403743300785,9.356465415200129,37.949999999999996,25.84565990138747,80.21906364468825,73.15212531658759
Seabank,1234,1712.020816098,3332.42047179593,13.537794682397701,7.712524743575286,17.134999999999998,25.845659901387464,56.518454583785164,50.69318464496275
Grain CCGT,1517,1642.807148286,2601.159094511032,43.14654484256773,24.58072400305801,17.939999999999998,25.845659901387464,86.9322047439552,68.36638390444547
South Humber,1365,1489.9096699680001,2621.7616113061845,31.2280065999722,17.79069480998815,7.589999999999999,25.84565990138745,64.66366650135964,51.2263547113756
Spalding,950,1402.98969039,3547.2907548560374,28.988700962010668,16.514955256657363,21.159999999999997,25.845659901387457,75.99436086339813,63.52061515804481
Connahs Quay Power Station,1380,1371.5286758940001,2387.2160101877666,35.74686233664576,20.365101314103434,18.859999999999996,25.845659901387457,80.45252223803323,65.07076121549088
Peterhead Power Station,1180,1350.8951019840001,2749.828015836491,8.947139671324374,5.097213964179555,42.205,25.845659901387464,76.99779957271184,73.14787386556702
Keadby,735,1190.6262548340003,3890.935473313726,56.80557305587929,32.362315875280174,6.095,25.845659901387457,88.74623295726676,64.30297577666764
Langage Energy Centre,905,1157.633406996,3072.4751891888204,28.297324934454632,16.12107613197438,33.809999999999995,25.84565990138745,87.95298483584207,75.77673603336183
Kilroot,700,1115.515014546,3827.7475989323525,55.70754756110286,31.736767254089248,29.325,25.845659901387446,110.87820746249031,86.9074271554767
Ballylumford,616,1098.1275788159999,4281.914578716577,44.19854541832296,25.18005208130972,29.325,25.845659901387464,99.36920531971042,80.35071198269719
Damhead Creek Power Station,805,1025.0580541560003,3058.570494071612,12.975630459541824,7.392257995523171,17.939999999999998,25.845659901387446,56.761290360929266,51.177917896910614
Little Barford,735,922.3704161339999,3014.2824056666664,73.32651342472698,41.77434821667349,26.909999999999997,25.845659901387453,126.08217332611443,94.53000811806093
Enfield Power Station,408,848.83069347,4997.201074109718,11.290841190500995,6.432428183501962,14.834999999999999,25.84565990138746,51.971501091888456,47.11308808488943
Coolkeeragh,413,760.2091978259999,4421.289784631106,14.130388926869896,8.050127571850906,21.849999999999998,25.845659901387457,61.82604882825735,55.74578747323836
Medway,755,644.05898949,2049.0124974035843,109.82335078440457,62.56671268979922,17.939999999999998,25.845659901387464,153.60901068579204,106.35237259118668
Kings Lynn Power Station,395,639.545885214,3889.0231292486974,9.98516594336749,5.688580837103338,28.52,25.845659901387467,64.35082584475495,60.054240738490805
Shoreham Power Station,420,614.802741792,3516.028752078432,20.033312407960324,11.413041877719092,26.909999999999997,25.845659901387464,72.78897230934778,64.16870177910656
Great Yarmouth Power Station,420,596.2897949400001,3410.1540560294125,20.655284561475714,11.767381394334707,36.455,25.845659901387464,82.95594446286317,74.06804129572217
Cottam Development Centre,455,579.25373385,3057.900555769231,33.91896941605595,19.323744896061044,18.285,25.845659901387457,78.04962931744342,63.4544047974485
Coryton,800,538.75672506,1617.5906573492646,22.647910630776778,12.902586811813809,14.719999999999999,25.84565990138745,63.213570532164226,53.46824671320125
Rye House,715,483.424019364,1624.007743647059,133.43860001594257,76.02039538309268,26.334999999999997,25.845659901387457,185.61925991733003,128.20105528448013
Rocksavage,810,481.80682494,1428.742097679739,29.845695820813795,17.003187956938298,13.799999999999999,25.84565990138746,69.49135572220125,56.64884785832575
