plant,investment_year,NPV_gross_profit,NPV_net_profit
Tees Valley-W2E,2026.0,1808651.4772627377,1486795.960981329
Wilton 11-W2E,2027.0,1044645.142962201,843454.0124617547
Runcorn-W2E,2027.0,2405466.1766514606,1920717.880353144
Riverside-W2E,2028.0,1962372.098974738,1574904.3061726224
Ferrybridge FM1-W2E,2028.0,1636966.0926890534,1285108.8017565925
Ferrybridge FM2-W2E,2028.0,1627030.0314284214,1276833.6697090163
Kemsley-W2E,2029.0,1379827.6119846255,1102556.2217231635
Allington-W2E,2029.0,1140917.5307576056,911520.613475143
Edmonton-W2E,2029.0,1179923.258304874,931601.5620565305
SELCHP-W2E,2029.0,953202.4669363756,741454.277444205
Rookery South C-W2E,2029.0,1438336.2033055285,1116659.5181850009
North Hykeham-W2E,2029.0,431500.86099165847,334510.2691129581
Lakeside-W2E,2029.0,1006835.3423138699,779878.2174409333
Trident Park-W2E,2030.0,982841.7505456426,769810.6777671997
Beddington Lane-W2E,2030.0,791534.3538457607,619944.0601302811
Allerton Park-W2E,2030.0,648053.8063208492,505873.84184965986
Severnside-W2E,2030.0,958928.3259581577,747589.2912861177
Avonmouth-W2E,2030.0,935014.9013706722,727648.0868362642
Tyseley-W2E,2030.0,868057.3125257134,669247.0724931413
Great Blakenham-W2E,2030.0,705446.0253308141,541019.8343058492
Four Ashes-W2E,2030.0,791534.3538457607,605974.5903236544
Ardley-W2E,2030.0,813056.4359744975,620004.8454421567
Coventry-W2E,2030.0,698271.9979545682,524348.2560478947
Greatmoor-W2E,2030.0,660010.5186145921,494731.7954126972
Marchwood-W2E,2031.0,489553.47754525696,369343.4360537715
Portsmouth-W2E,2031.0,445048.6159502337,332564.76266412064
Eastcroft-W2E,2031.0,435679.171403913,316473.40884976566
Dunbar-W2E,2031.0,833880.5646225432,605131.0457044838
Millerhill-W2E,2031.0,381804.86526256887,276885.8460435463
Parc Adfer-W2E,2031.0,484868.7552720968,350067.119214758
Newhurst-W2E,2031.0,698023.618700893,503455.33958827145
Kirklees-W2E,2031.0,309191.6700285834,219896.13627331317
Leeds-W2E,2031.0,416940.2823112716,292780.39924109034
Newhaven-W2E,2031.0,496580.56095499755,345455.3962450031
Hanford-W2E,2031.0,433336.81026733306,301146.1338999827
Chineham-W2E,2031.0,241263.1970677583,165088.07069939128
Baldovie-W2E,2031.0,440363.89367707336,298779.5761063806
Wolverhampton-W2E,2031.0,229551.39138485742,154723.85685194423
NewLincs-W2E,2031.0,131172.22364848995,86857.26058351288
Hartlebury-W2E,2031.0,491895.8386818372,321147.8890945823
Javelin Park-W2E,2031.0,440363.89367707336,287071.04252650205
Milton Keynes ACT-W2E,2031.0,189731.2520629944,123569.37256425165
Sheffield-W2E,2031.0,541085.4225500211,345750.9691172553
Peterborough-W2E,2031.0,199100.6966093151,126984.03863133468
Dudley-W2E,2031.0,161622.91842403228,101282.5273849481
