Year, Market Traded Carbon Values (2024 GBP), Low Sensitivity - High Fossil Fuel Prices and Low Economic Growth (2024 GBP), Net Zero Strategy Aligned (2024 GBP), High Sensitivity - Low Fossil Fuel Prices and High Economic Growth (2024 GBP)
2024, 37, 28, 40, 46
2025, 44, 49, 63, 74
2026, 62, 62, 87, 103
2027, 75, 66, 87, 104
2028, 88, 62, 88, 110
2029, 80, 53, 80, 105
2030, 78, 50, 78, 107
2031, 85, 54, 85, 114
2032, 91, 60, 91, 118
2033, 97, 63, 97, 123
2034, 100, 65, 100, 125
2035, 109, 72, 109, 134
2036, 115, 77, 115, 140
2037, 122, 84, 122, 146
2038, 130, 94, 130, 153
2039, 132, 96, 132, 153
2040, 128, 94, 128, 151
2041, 125, 90, 125, 149
2042, 122, 87, 122, 148
2043, 118, 85, 118, 145
2044, 119, 85, 119, 147
2045, 120, 85, 120, 148
2046, 119, 82, 119, 148
2047, 119, 83, 119, 150
2048, 121, 84, 121, 151
2049, 122, 84, 122, 152
2050, 124, 85, 124, 154
