Company Name [note 30],Site Name,Technology,Type,CHP,Primary Fuel,Secondary Fuel,InstalledCapacity (MW),Grid Connection Type,Country,Region,Postcode,OS Reference,X-Coordinate,Y-Coordinate,Year Commissioned,DESNZ site code
Anesco,Puriton,Solar,PV,No,Solar,, 4.6 ,LV,England,South West,TA64TG,,332462.0,142273.0,2015,SOL-000443
Anesco,Bourne Park,Solar,PV,No,Solar,, 0.2 ,LV,England,South West,DT27TU,,372107.0,97577.0,2012,SOL-000481
Anesco,Owls Lodge,Solar,PV,No,Solar,, 10.0 ,LV,England,South East,SP116PL,,443869.0,142971.0,2013,SOL-000585
Anesco,Shelswell,Solar,PV,No,Solar,, 5.1 ,LV,England,South East,OX278EH,,460822.0,230982.0,2013,SOL-000589
Anesco,Skylark,Solar,PV,No,Solar,, 4.9 ,LV,England,East of England,CB232SZ,,531754.0,257635.0,2013,SOL-000591
Anesco,Halse Solar Farm,Solar,PV,No,Solar,, 8.3 ,LV,England,South West,TA43LY,,315101.0,128738.0,2013,SOL-000608
Anesco,Jordanston Solar Farm,Solar,PV,No,Solar,, 4.6 ,LV,Wales,Wales,SA708NQ,,206785.0,201103.0,2013,SOL-000610
Anesco,Horsacott Solar Farm,Solar,PV,No,Solar,, 6.5 ,LV,England,South West,EX312PD,,252330.0,131541.0,2013,SOL-000616
Anesco,Sandys Moor,Solar,PV,No,Solar,, 2.9 ,LV,England,South West,TA42LY,,308509.0,127381.0,2013,SOL-000620
Anesco,East Farm,Solar,PV,No,Solar,, 6.8 ,LV,England,South West,BA120PG,,398727.0,142115.0,2013,SOL-000625
Anesco,Huntingdon,Solar,PV,No,Solar,, 10.2 ,LV,England,East of England,PE285YJ,,520021.0,281612.0,2014,SOL-000662
Anesco,Blackdown,Solar,PV,No,Solar,, 7.5 ,LV,England,South West,TA37DY,,320819.0,114679.0,2014,SOL-000664
Anesco,Mendip,Solar,PV,No,Solar,, 7.2 ,LV,England,South West,BA53AA,,359176.0,151234.0,2014,SOL-000666
Anesco,Newnton Dairy,Solar,PV,No,Solar,, 7.2 ,LV,England,South West,SN169SR,,392277.0,191968.0,2014,SOL-000667
Anesco,Whitchurch,Solar,PV,No,Solar,, 6.5 ,LV,England,South West,BA34DW,,363439.0,153553.0,2014,SOL-000669
