Power plant name,Capacity [MW],Notes
Pembroke Power Station,2200,
Staythorpe Power Station,1828,
Didcot B,1450,
West Burton B CCGT Power Station,1332,
Saltend,1200,
Immingham,1252,"VPI in DUKES 5.11 data"
Marchwood  Power  Station,898,
Carrington CCGT,884,
Seabank,1234,
Grain CCGT,1517,
South Humber,1365,"EP SHB LTD in data"
Spalding,950,
Connahs Quay Power Station,1380,
Peterhead Power Station,1180,
Keadby,735,
Langage Energy Centre,905,
Kilroot,700,"Missing in DUKES 5.11 data, taken from Google"
Ballylumford,616,
Damhead Creek Power Station,805,
Little Barford,735,
Enfield Power Station,408,
Coolkeeragh,413,
Medway,755,
Kings Lynn Power Station,395,
Shoreham Power Station,420,
Great Yarmouth Power Station,420,
Cottam Development Centre,455,
Coryton,800,
Rye House,715,
Rocksavage,810,
