site-stack,ktCO2f_yr_baseline,ktCO2bio_yr_baseline,ktCO2f_yr_captured,ktCO2bio_yr_captured,ktCO2_yr_cumulative,ktCO2f_yr_residual,EUR/tCO2
Scunthorpe Power Station-chp,1644.48358347,0.0,1562.2594042965,0.0,1562.2594042965,82.22417917350008,96.73116241410254
Scunthorpe Blast Furnaces-stove,1046.557701918,0.0,994.2298168221001,0.0,2556.4892211186,52.32788509590005,101.77416809357996
Runcorn-W2E,433.37070000000006,498.60929999999996,411.702165,473.6788349999999,3441.8702211186,21.668535000000023,111.4265354473575
Scunthorpe Sinter-sinter,666.9501546120001,0.0,633.6026468814001,0.0,4075.4728680000003,33.347507730600036,112.49305737093846
Riverside-W2E,360.0030000000001,414.19699999999995,342.00285,393.48714999999993,4810.9628680000005,18.000150000000016,113.59089633687411
Tees Valley-W2E,320.35710000000006,368.5829,304.33924500000006,350.153755,5465.455868000001,16.017855000000015,115.02753739189207
Ferrybridge FM1-W2E,300.3063000000001,345.5137,285.29098500000003,328.23801499999996,6078.984868000001,15.015315000000015,115.85062933305893
Ferrybridge FM2-W2E,298.48350000000005,343.4164999999999,283.559325,326.24567499999995,6688.789868000002,14.924175000000016,115.92921051348226
Rookery South C-W2E,268.86300000000006,309.337,255.41985,293.8701499999999,7238.079868000002,13.44315000000001,117.30753289350845
Kemsley-W2E,257.9262,296.75379999999996,245.02989000000002,281.91610999999995,7765.0258680000015,12.896310000000014,117.8712313644831
South Killingholme-crackers,401.43767110799996,0.0,381.3657875526,0.0,8146.391655552601,20.071883555400017,119.4271769821288
New Rugby-cement,911.7928532640001,0.0,866.2032106008,0.0,9012.594866153402,45.58964266320004,119.95093498575645
Edmonton-W2E,220.55880000000005,253.76119999999995,209.53086,241.07313999999997,9463.198866153401,11.027940000000012,120.08407487923127
Allington-W2E,213.26760000000004,245.37239999999994,202.60422000000003,233.10377999999997,9898.906866153402,10.663380000000009,120.57872708090898
Grangemouth Power Station-CCGT,528.7129281720001,0.0,502.2772817634001,0.0,10401.184147916802,26.435646408600032,122.38065667583123
Lakeside-W2E,188.20410000000004,216.53589999999997,178.79389499999996,205.70910499999994,10785.687147916802,9.410205000000008,122.48356749510901
Wilton 11-W2E,188.20410000000004,216.53589999999997,178.79389499999996,205.70910499999994,11170.190147916803,9.410205000000008,122.48356749510901
Trident Park-W2E,187.29270000000002,215.48729999999995,177.92806500000003,204.712935,11552.831147916802,9.364635000000009,122.55969486828438
Severnside-W2E,182.73570000000004,210.24429999999998,173.598915,199.73208499999998,11926.162147916802,9.136785000000009,122.94857442068614
Avonmouth-W2E,178.17870000000002,205.0013,169.269765,194.75123499999998,12290.183147916803,8.908935000000008,123.35184992549627
SELCHP-W2E,178.17870000000002,205.0013,169.269765,194.75123499999998,12654.204147916804,8.908935000000008,123.35184992549627
Fawley Refinery-crackers,632.1580289604001,0.0,600.55012751238,0.0,13254.754275429184,31.607901448020034,123.7800786313876
South Killingholme-smr,236.84822595371998,0.0,225.00581465603398,0.0,13479.760090085218,11.842411297686011,124.24814300808183
Hope Cement Works-cement,1056.290602302,0.0,1003.4760721869,0.0,14483.236162272118,52.81453011510005,124.29780047463261
Tyseley-W2E,165.41910000000004,190.32089999999997,157.148145,180.80485499999995,14821.189162272118,8.270955000000008,124.5661966441222
Dunbar-W2E,162.22920000000002,186.65079999999998,154.11774,177.31825999999995,15152.625162272117,8.111460000000006,124.8915093096677
Ardley-W2E,154.93800000000002,178.26199999999997,147.19109999999998,169.34889999999996,15469.165162272118,7.746900000000007,125.67189648098528
Four Ashes-W2E,150.83670000000004,173.54329999999996,143.29486500000002,164.86613499999999,15777.326162272118,7.541835000000007,126.13524224217686
