policy,feature,importance_mean
CTBO-only,DIFFUSE_END_FRACTION,1.7755480869619458
CTBO-only,DACCS_SCENARIO_£391,0.1394791209359297
CTBO-only,celc,0.018768617232912132
CTBO-only,CAPEX_m,0.0055425907254413416
CTBO-only,discount_rate_ccs,0.0017216411480289369
CTBO-only,cgas,0.0016470102453884823
CTBO-only,ccgt_efficiency,0.0016361064293071343
CTBO-only,pcomp_liquefy,0.0012161602720798432
CTBO-only,capture_rate,0.0011505657816520964
CTBO-only,pcomp,0.0011418832653203315
CTBO-only,cliquefy,0.0010681054592878436
CTBO-only,CAPEX_bioboiler,0.0009701764516435174
CTBO-only,CEPCI_2025,0.0008258073220341148
CTBO-only,drax_efficiency_loss,0.0007945982710356828
CTBO-only,camine,0.00069782068542489
CTBO-only,cHCN,0.0005803986536059477
CTBO-only,FLH_waste,0.0005436311265057392
CTBO-only,fraction_limestone,0.0005226981876542414
CTBO-only,drax_efficiency,0.000479097897908648
CTBO-only,transport_uncertainty,0.0004228577961344626
CTBO-only,cHRSG,0.0004156346994590813
CTBO-only,ccgt_efficiency_loss,0.0004120621684456279
CTBO-only,FLH_industry,0.0003859262684140126
CTBO-only,cstraw,0.0003753299809296044
CTBO-only,qreb,0.00036765437657575634
CTBO-only,NETL_2025,0.00036432128677791703
CTBO-only,fixate_CAPEX,0.00035360084022239185
CTBO-only,cstorage,0.00030530842008425857
CTBO-only,fraction_fossil_waste,0.0002954949745502163
CTBO-only,lifetime_ccs,0.0002537886376447103
CTBO-only,CAPEX_gasboiler,0.0001882144759559612
ETS-eq,DIFFUSE_END_FRACTION,1.6571000011124026
ETS-eq,DACCS_SCENARIO_£391,0.1447477777298505
ETS-eq,celc,0.03745203751091988
ETS-eq,CAPEX_m,0.01879082840929643
ETS-eq,discount_rate_ccs,0.007189366176797708
ETS-eq,cgas,0.005563980637859974
ETS-eq,ccgt_efficiency,0.0023380055302704428
ETS-eq,CAPEX_bioboiler,0.0022729954198916955
ETS-eq,cliquefy,0.0021305560731887385
ETS-eq,pcomp,0.0018694413550449744
ETS-eq,capture_rate,0.001831100159141295
ETS-eq,fraction_fossil_waste,0.0018231024214299858
ETS-eq,CEPCI_2025,0.0016600004501178174
ETS-eq,transport_uncertainty,0.0014083682878151167
ETS-eq,drax_efficiency_loss,0.0013926218699969277
