,ST,ST_conf,S1,S1_conf
ASSUME_FOAK,0.16044952272641036,0.23372524720201537,0.06951012737638111,0.36633170732678216
CAPEX_bioboiler,1.4361959532065245e-32,1.995581524140462e-32,-7.532846867401688e-17,1.0393309372569778e-16
CAPEX_gasboiler,6.227407927182763e-34,1.2850859553323417e-33,1.1567585137753706e-17,2.3870832570243076e-17
CEPCI_2025,0.0,0.0,0.0,0.0
DACCS_SCENARIO,0.0,0.0,0.0,0.0
DIFFUSE_END_FRACTION,0.05444564497710327,0.04281100145411947,0.13472728944028003,0.2907571771078661
ETS_SCENARIO,0.5133007043260387,0.6975081396456687,0.3294340806063991,0.613119564670186
FLH_industry,2.5298844704179974e-33,5.803038353394074e-33,2.632708499378177e-17,5.232980441974228e-17
FLH_waste,2.3041409330576225e-32,3.4014277885799114e-32,-1.1988529879933666e-16,2.1096015604983241e-16
NETL_2025,0.007857698145810386,0.0066265639024282764,0.002002825381558151,0.09314698661644959
cHCN,1.2454815854365526e-33,2.4382189843272832e-33,1.9120947203839142e-17,3.5879477042821547e-17
cHRSG,0.0,0.0,0.0,0.0
camine,0.00017338057966626404,0.0001239866827793527,-0.007964510047605166,0.012835497483470727
capture_rate,0.02404817102929063,0.03866327502635632,0.09611708335484338,0.13478271245728451
ccgt_efficiency,0.0015075970561109597,0.0034589972249173813,0.00011781996576863797,0.033248422314916724
ccgt_efficiency_loss,0.007786951561726383,0.00788031868797341,-0.08339018197171273,0.07461080882259666
celc,0.10905975268367853,0.12367133912793259,0.02097853815633275,0.26812574674108447
cgas,0.00043082651255989404,0.0012365889299679298,-0.00630762365987836,0.01802874574509288
cliquefy,0.0002734482955833481,0.00017637214746239304,-0.010814049040127414,0.015784338838107197
cpellets,0.0,0.0,0.0,0.0
cstorage,0.00034541336912972834,0.00030352993620650856,0.01530806679582608,0.020430276668420067
cstraw,1.9071436776997213e-33,5.3884796749719195e-33,1.475949985602806e-17,4.170176894217214e-17
discount_rate_ccs,0.038306836195543925,0.034006111245639584,-0.061268580493961416,0.17845521702365114
drax_efficiency,0.0,0.0,0.0,0.0
drax_efficiency_loss,1.9071436776997213e-33,5.3884796749719195e-33,1.475949985602806e-17,4.170176894217214e-17
fixate_CAPEX,0.0,0.0,0.0,0.0
fraction_fossil_waste,6.227407927182763e-34,1.2850859553323417e-33,1.1567585137753706e-17,2.3870832570243076e-17
fraction_limestone,2.1145849165054208e-07,2.56600847390461e-07,0.0003480587029071885,0.000620929186232611
lifetime_ccs,0.001997589412961858,0.0014862219121776815,0.033243309617908216,0.029540713819002255
pcomp,0.000700262432171645,0.0012684680637878895,0.005357169076301277,0.021758653269496303
pcomp_liquefy,0.0006526327138974125,0.0005007105081288555,-0.007014775943627464,0.03193504427555551
qreb,0.00016414917151635496,0.00039975333491057804,-0.006417951142429867,0.011811014283757325
transport_uncertainty,0.0012239355954746282,0.0019323044552240914,-0.002479357822413266,0.04212115331025462
